Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,PIM Link (description),PIM Link,Benchmark 2010 Status,Benchmark 2011 Status,Benchmark 2012 Status,Benchmark 2013 Status,Benchmark 2014 Status,Energy Audit Due Date,Energy Audit Status,Full.Address (address),2011 ENERGY STAR Score,Full.Address (city),Full.Address,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),Full.Address (state),Full.Address (zip),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2)
0013/006,2770 TAYLOR ST,2770 TAYLOR ST,94133,40017,N/A,,http://propertymap.sfplanning.org/?&search=0013/006,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,2770 TAYLOR ST,,San Francisco,POINT (-122.415741 37.807889),,,CA,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5315/051,2000 Oakdale Ave,2000 OAKDALE AVE,94124,37000,N/A,,http://propertymap.sfplanning.org/?&search=5315/051,N/A,N/A,Complied,Complied,Exempt - Change of Ownership,4/1/13,Complied,2000 OAKDALE AVE,,San Francisco,POINT (-122.398253 37.739095),,,CA,94124,,,,,,,88,6.5,15,-54.5,,17.81,,6.5,15,79,17.2,28.9,-40.1,-40,40.5,1.1,17.2,28.9,,,,,,,,,
3510/021,169 11TH ST,169 11TH ST,94103,16282,N/A,,http://propertymap.sfplanning.org/?&search=3510/021,N/A,N/A,Violation - Did Not Report,Violation - Insufficient Data,Violation - Insufficient Data,4/1/14,Did Not Comply,169 11TH ST,,San Francisco,POINT (-122.415985 37.77341),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3709/014,425 Market Street,425 MARKET ST,94105,1101389,Office,,http://propertymap.sfplanning.org/?&search=3709/014,Complied,Complied,Complied,Complied,Complied,4/1/14,Exempt - LEED EBOM,425 MARKET ST,87,San Francisco,POINT (-122.398591 37.791487),59.6,,CA,94105,-39.7,,5497.86,,58.2,,89,59.2,177.8,-41.2,,5203.49,,58.6,177.2,88,56.1,158.9,-40.7,-40.7,4468,4.3,56.2,159,89,49.8,147.6,-42.3,-42.3,4060,3.9,51.3,149.1
0271/012,564 BUSH ST,564 BUSH ST,94108,14150,N/A,,http://propertymap.sfplanning.org/?&search=0271/012,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,564 BUSH ST,,San Francisco,POINT (-122.406536 37.790454),,,CA,94108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6473/047,5767 MISSION ST,5767 MISSION ST,94112,11952,N/A,,http://propertymap.sfplanning.org/?&search=6473/047,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,5767 MISSION ST,,San Francisco,POINT (-122.449704 37.709823),,,CA,94112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3511/023,1596 Howard St. (GID/BRFS/GO Studio),1596 HOWARD ST,94103,46075,Other,,http://propertymap.sfplanning.org/?&search=3511/023,Complied,Complied,Complied,Complied,Complied,4/1/14,Complied,1596 HOWARD ST,,San Francisco,POINT (-122.41675 37.771966),,,CA,94103,,,,,,,,31.1,69.8,-43.3,-43.3,88.4,2.2,28.9,68.7,,26.1,60.8,-50.6,-50.6,75.4,1.8,24.7,60.1,,23.8,58.9,-52.2,-52.2,70.7,1.7,23,56.6
3708/057,Market Center (555),555 MARKET ST,94105,342238,Office,,http://propertymap.sfplanning.org/?&search=3708/057,Complied,Complied,Complied,Complied,Complied,4/1/13,Exempt - LEED EBOM,555 MARKET ST,85,San Francisco,POINT (-122.399986 37.790384),79.8,,CA,94105,-37.4,,2218.33,,75.2,,79,82.1,191.2,-31,,2333.3,,81.1,190.7,82,73.9,179.3,-34.9,-34.9,1807.8,5.6,74,179.5,86,65.8,165,-39.1,-39.1,1624.5,5,68.2,167.9
3715/002,110 THE EMBARCADERO,110 THE EMBARCADERO,94105,12274,N/A,,http://propertymap.sfplanning.org/?&search=3715/002,N/A,N/A,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,4/1/23,Upcoming,110 THE,,San Francisco,POINT (-122.392455 37.793586),,,CA,94105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012/018,345 W Portal Ave,345 W Portal Ave,94127,12500,Office,,http://propertymap.sfplanning.org/?&search=3012/018,N/A,Complied,Complied,Complied,Complied,4/1/14,Pending,345 W Portal Ave,,San Francisco,POINT (-122.469803 37.737333),,,CA,94127,,,,,,,,,,,,,,,,73,46.9,111.6,-24.2,-24.2,41.7,3.3,46.9,111.6,81,38.8,94.4,-32.8,-32.8,34.9,2.8,38.8,94.4
3740/001,Folger Building,101 HOWARD ST,94105,114053,Office,,http://propertymap.sfplanning.org/?&search=3740/001,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,101 HOWARD ST,81,San Francisco,POINT (-122.392787 37.79109),68.3,,CA,94105,-33.5,,578.27,,68.3,,89,63.7,134.9,-43.2,,514.34,,64.6,138,86,67.2,134.2,-39.7,-39.7,527.7,4.6,67.1,133.9,83,65,130.5,-35.3,-35.3,490.1,4.3,66.4,130
0285/005,400 Sutter,400 SUTTER ST,94108,22830,Retail Store,,http://propertymap.sfplanning.org/?&search=0285/005,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,400 SUTTER ST,,San Francisco,POINT (-122.407197 37.789393),,,CA,94108,,,,,,,,,,,,,,,,,24,65.8,-42.6,-42.5,44.6,2,24,65.8,,24.3,70.1,-38.7,-38.7,43.4,1.9,24.3,70.1
5414/031,"5487-SAN FRANCISCO, CA",5300 3rd Street,94124,13100,Retail Store,,http://propertymap.sfplanning.org/?&search=5414/031,N/A,N/A,Complied,Complied,Complied,4/1/13,Did Not Comply,5300 3rd Street,,San Francisco,POINT (-122.392724 37.729324),,,CA,94124,,,,,,,,,,,,,,,,61,95.7,291.7,-14.1,-14.1,100.7,7.7,95.1,291.1,52,103.5,318.1,-3.2,-3.2,109.3,8.3,103.5,318.1
0328/003,48 Stockton,48 STOCKTON ST,94108,64287,Retail Store,,http://propertymap.sfplanning.org/?&search=0328/003,Complied,Complied,Complied,Complied,Complied,4/1/14,Complied,48 STOCKTON ST,76,San Francisco,POINT (-122.406368 37.786424),47.8,,CA,94108,-32,,278.96,,47.8,,74,49.4,155.2,-29.3,,279.4,,49.4,155.2,75,48,150.8,-30.3,-30.3,251.7,3.9,48,150.8,73,48.3,151.7,-27.6,-27.6,253.3,3.9,48.3,151.7
0689/200,1314 POST ST,1301 FRANKLIN ST,94109,12342,Retail Store,,http://propertymap.sfplanning.org/?&search=0689/200,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,1301 FRANKLIN ST,,San Francisco,POINT (-122.423243 37.786424),,,CA,94109,,,,,,,,,,,,,,,,77,71.2,221.5,-33,-33,71.3,5.8,71.2,221.5,74,74.6,231.5,-28.5,-28.5,74.6,6,75.1,232.1
3789/009,275 BRANNAN ST,275 BRANNAN ST,94107,65402,Office,,http://propertymap.sfplanning.org/?&search=3789/009,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,Complied,Complied,4/1/14,Pending,275 BRANNAN ST,,San Francisco,POINT (-122.391542 37.782287),,,CA,94107,,,,,,,,,,,,,,,,97,31.7,93.4,-58.6,-58.6,163.6,2.5,31.8,93.5,96,31.6,93.5,-57.7,-57.7,163.3,2.5,32.7,95.1
0269/027,346 KEARNY ST,346 KEARNY ST,94108,14867,N/A,,http://propertymap.sfplanning.org/?&search=0269/027,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,346 KEARNY ST,,San Francisco,POINT (-122.404204 37.79147),,,CA,94108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010/002,Argonaut Hotel-SV,495 Jefferson St,94109,180450,Hotel,,http://propertymap.sfplanning.org/?&search=0010/002,Complied,Complied,Complied,Complied,Complied,4/1/14,Complied,495 Jefferson St,79,San Francisco,POINT (-122.420563 37.807624),67.7,,CA,94109,-26.6,,847.4,,67.7,,95,55.9,115.1,-48,,704.18,,55.9,115.1,78,67.9,136.1,-25.3,-25.3,844.7,4.7,67.9,136.1,79,63.6,129.5,-26.5,-26.5,763.1,4.2,63.6,129.5
3707/062,33 New Montgomery,33 NEW MONTGOMERY ST,94105,260588,N/A,,http://propertymap.sfplanning.org/?&search=3707/062,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,Exempt - Change of Ownership,4/1/14,Exempt - ENERGY STAR,33 NEW MONTGOMERY ST,84,San Francisco,POINT (-122.401646 37.788377),52.3,,CA,94105,-37.5,,1125.12,,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6959/019,4840 MISSION ST,4840 MISSION ST,94112,35000,Other,,http://propertymap.sfplanning.org/?&search=6959/019,N/A,Violation - Insufficient Data,Complied,Complied,Complied,4/1/14,Complied,4840 MISSION ST,,San Francisco,POINT (-122.438002 37.720462),,,CA,94112,,,,,,,,25.2,41.1,-66.6,-66.6,55.3,1.6,25.2,41.1,,28,43.1,-65,-65,60.1,1.7,26.5,41.2,,23.6,37.6,-69.5,-69.5,50,1.4,26.9,41
3703/088,1025 Market,1025 Market St.,94103,37931,Museum,,http://propertymap.sfplanning.org/?&search=3703/088,N/A,Exempt,Complied,Complied,Complied,4/1/14,Complied,1025 Market St,,San Francisco,POINT (-122.41091 37.781748),,,CA,94103,,,,,,,,8.6,28.6,-81.6,,29.58,,8.6,28.5,,6.6,20.2,-76.2,-76.2,20.1,0.5,6.6,20.2,,6.2,19.1,-77.5,-77.5,19,0.5,6.2,19.1
4052/001,SWL349 - Bldg # 12,"70 Pier, Bldg # 12",94107,33372,N/A,,http://propertymap.sfplanning.org/?&search=4052/001,N/A,Exempt - Tenant Turnover,Exempt - Tenant Turnover,Exempt - Tenant Turnover,Exempt - Tenant Turnover,4/1/99,Municipal,70 Pier,,San Francisco,,,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0702/039,1975 POST ST,1975 POST ST,94115,38051,Worship Facility,,http://propertymap.sfplanning.org/?&search=0702/039,N/A,Violation - Insufficient Data,Violation - Insufficient Data,Complied,Complied,4/1/13,Did Not Comply,1975 POST ST,,San Francisco,POINT (-122.434291 37.785023),,,CA,94115,,,,,,,,,,,,,,,,,11.3,26.1,-63.1,-63.1,30.2,0.8,11,25.5,,9.7,23.1,-67.2,-67.2,26.3,0.7,9.9,23.5
3728/048,Storek,149 9TH ST,94103,27885,N/A,,http://propertymap.sfplanning.org/?&search=3728/048,N/A,Complied,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,149 9TH ST,,San Francisco,POINT (-122.413858 37.775538),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0228/038,"MEPT 475 Sansome Street, LLC",475 SANSOME ST,94111,461795,Office,,http://propertymap.sfplanning.org/?&search=0228/038,Complied,Complied,Complied,Complied,Complied,11/15/12,Exempt - LEED EBOM,475 SANSOME ST,79,San Francisco,POINT (-122.401487 37.79473),61.4,,CA,94111,-29.7,,1847.53,,59,,80,60.2,189,-31.1,,1826.88,,59.4,188.2,89,48.4,137.7,-43.5,-43.5,1487.6,3.8,48.5,137.9,94,40.6,119.6,-51.3,-51.3,1269.5,3.2,41.7,120.8
3612/048,2173-Stonestown,3251 20th Avenue,94132,36279,Medical Office,,http://propertymap.sfplanning.org/?&search=3612/048,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Did Not Comply,3251 20th Avenue,,San Francisco,POINT (-122.475605 37.727905),,,CA,94132,,,,,,,,,,,,,,,,1,182.1,350.9,112.4,112.4,429.6,11.8,182.1,350.9,7,130,262.8,64.2,64.2,312.7,8.6,130,262.8
4851/023,"Kin Wo Construction, Inc.",2401 INGALLS ST,94124,10000,Office,,http://propertymap.sfplanning.org/?&search=4851/023,N/A,Complied,Complied,Complied,Complied,4/1/13,Complied,2401 INGALLS ST,,San Francisco,POINT (-122.388827 37.723759),,,CA,94124,,,,,,,,,,,,,,,,1,123.7,388.5,348.2,348.1,108.8,10.9,134.5,422.5,1,105.3,330.7,292.7,292.7,85.9,8.6,105.3,330.7
3572/024,2055 FOLSOM ST,2055 FOLSOM ST,94110,31145,N/A,,http://propertymap.sfplanning.org/?&search=3572/024,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,2055 FOLSOM ST,,San Francisco,POINT (-122.415214 37.764373),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702/044,One Trinity Center,1145 MARKET ST,94103,159330,Office,,http://propertymap.sfplanning.org/?&search=3702/044,Violation - Insufficient Data,Complied,Complied,Complied,Complied,4/1/13,Pending,1145 MARKET ST,86,San Francisco,POINT (-122.413584 37.779635),59,135.1,CA,94103,-40.2,-40.2,703.9,4.4,59,135.1,93,48.9,112.4,-50,-50,584,3.7,48.9,112.4,95,50,103.4,-53.9,-53.9,582.6,3.7,50,103.4,86,57.2,131.2,-39.7,-39.7,682.4,4.3,58.8,133.1
5982/003A,2660 SAN BRUNO AVE,2660 SAN BRUNO AVE,94134,10522,N/A,,http://propertymap.sfplanning.org/?&search=5982/003A,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,2660 SAN BRUNO AVE,,San Francisco,POINT (-122.403763 37.728017),,,CA,94134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111/004,55 UNION ST,55 UNION ST,94111,43000,Office,,http://propertymap.sfplanning.org/?&search=0111/004,N/A,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,4/1/13,Pending,55 UNION ST,,San Francisco,POINT (-122.401129 37.801458),,,CA,94111,,,,,,,,,,,,,,,,,146.4,383.7,159.2,159.2,468.8,10.9,146.7,384.1,,84.7,207.5,40.1,40.1,262.7,6.1,88.2,211.2
2457/049,2801 VICENTE ST,2801 VICENTE ST,94116,18055,Supermarket/Grocery Store,,http://propertymap.sfplanning.org/?&search=2457/049,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,2801 VICENTE ST,,San Francisco,POINT (-122.497235 37.738369),,,CA,94116,,,,,,,,,,,,,,,,,151.9,426.8,-11.1,-11.1,225.9,12.5,151.2,428.3,17,164.6,449.4,26.2,26.2,225.7,12.5,161.9,441
0763/002,"507 Polk Street, LLC",507 POLK ST,94102,34572,Office,,http://propertymap.sfplanning.org/?&search=0763/002,N/A,Complied,Complied,Complied,Complied,4/1/13,Complied,507 POLK ST,,San Francisco,POINT (-122.418857 37.78148),,,CA,94102,,,,,,,87,41.9,127.3,-41.1,,124.46,,41.4,126.7,89,40.3,115.7,-43.1,-43.1,116.2,3.4,39.4,114.8,89,37.2,110.5,-43.8,-43.8,101.9,2.9,37.2,110.5
3952/001,2 CONNECTICUT ST,2 CONNECTICUT ST,94107,15624,N/A,,http://propertymap.sfplanning.org/?&search=3952/001,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,2 CONNECTICUT ST,,San Francisco,POINT (-122.397837 37.765982),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0163/008A,560 PACIFIC AVE,560 PACIFIC AVE,94133,22000,Office,,http://propertymap.sfplanning.org/?&search=0163/008A,N/A,Violation - Insufficient Data,Complied,Complied,Complied,4/1/14,Complied,560 PACIFIC AVE,,San Francisco,POINT (-122.404391 37.797216),,,CA,94133,,,,,,,,,,,,,,,,86,37.2,110.6,-39,-39.1,69.6,3.2,37,110.1,89,33.4,99,-44.2,-44.2,58.2,2.6,34.6,100.1
3715/003,Jewish Community Federation,121 STEUART ST,94105,44748,Office,,http://propertymap.sfplanning.org/?&search=3715/003,Complied,Complied,Complied,Violation - Insufficient Data,Complied,4/1/13,Complied,121 STEUART ST,,San Francisco,POINT (-122.392797 37.792926),,,CA,94105,,,,,,,84,49.8,166.3,-30.7,,202.44,,49.8,166.3,,,,,,,,,,,42,131.8,-11,-11,153.1,3.4,42,131.8
0707/001,1807 GEARY BLVD,1807 GEARY BLVD,94115,41992,N/A,,http://propertymap.sfplanning.org/?&search=0707/001,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1807 GEARY BLVD,,San Francisco,POINT (-122.432997 37.784189),,,CA,94115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/021,Noriega Capital Group LLC,1900 NORIEGA ST,94122,10645,Office,,http://propertymap.sfplanning.org/?&search=2023/021,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,1900 NORIEGA ST,,San Francisco,POINT (-122.48429 37.7539),,,CA,94122,,,,,,,,,,,,,,,,44,50.5,158.5,5.6,5.6,43.8,4.1,50.5,158.5,48,46.2,145,1.2,1.2,40.1,3.8,46.2,145
0260/010,300 Montgomery Associates,300 MONTGOMERY ST,94104,205076,Office,,http://propertymap.sfplanning.org/?&search=0260/010,Complied,Complied,Complied,Complied,Complied,4/1/13,Pending,300 MONTGOMERY ST,91,San Francisco,POINT (-122.402666 37.792302),32.7,,CA,94104,-46.9,,605.61,,32.7,,91,32.6,109,-46.6,,607.63,,33,110.1,89,34.9,109.7,-43.7,-43.7,584.1,2.8,34.4,108,87,36.5,114.7,-41.8,-41.8,610.9,3,35.6,111.8
4356/001,3101 3rd Street,3101 3RD ST,94124,66000,Office,,http://propertymap.sfplanning.org/?&search=4356/001,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,3101 3RD ST,100,San Francisco,POINT (-122.387438 37.749635),3.9,,CA,94124,-90.1,,21.88,,3.8,,100,3.8,11.7,-90,,21.66,,3.8,11.8,100,1.7,5.5,-95.2,-95,10.1,0.2,1.7,5.5,100,6.1,17.5,-84.2,-84.2,31.4,0.5,6.1,17.5
6574/001B,3140 MISSION ST,3136 MISSION ST,94110,10000,Bar/Nightclub,,http://propertymap.sfplanning.org/?&search=6574/001B,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Did Not Comply,3136 MISSION ST,,San Francisco,POINT (-122.418931 37.747066),,,CA,94110,,,,,,,,,,,,,,,,,22.1,69.3,-18.6,-18.6,18,1.8,,,,32.7,81.2,-4.6,-4.6,23.8,2.4,33.2,81.7
0294/005,231 GRANT AVE,231 GRANT AVE,94108,13000,N/A,,http://propertymap.sfplanning.org/?&search=0294/005,Complied,N/A,Violation - Did Not Report,Violation - Insufficient Data,Violation - Insufficient Data,4/1/14,Did Not Comply,231 GRANT AVE,,San Francisco,POINT (-122.405319 37.789188),,,CA,94108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3957/002,350 Rhode Island - North,350 Rhode Island - North,94103,127074,Other - Education,,http://propertymap.sfplanning.org/?&search=3957/002,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,350 Rhode Island North,,San Francisco,,125,,CA,94103,96,,1160.87,,123.6,,,94.9,242.8,63.6,,940.9,,95.3,244.4,,92.1,228.8,61.9,61.8,900.9,7.1,91.6,230.2,,102.7,254.3,79.8,79.8,946.4,7.4,99.9,245.4
3547/002,1850 MISSION ST,1850 MISSION ST,94103,23247,Vocational School,,http://propertymap.sfplanning.org/?&search=3547/002,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Did Not Comply,1850 MISSION ST,,San Francisco,POINT (-122.419894 37.767382),,,CA,94103,,,,,,,,,,,,,,,,,31.2,80.8,-42.9,-42.9,43.3,2.3,30.3,80.3,,28.9,79.8,-43.6,-43.6,41.4,2.2,30.6,79.9
0499/009,2850 VAN NESS AVE,2850 VAN NESS AVE,94109,15559,Hotel,,http://propertymap.sfplanning.org/?&search=0499/009,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/13,Did Not Comply,2850 VAN NESS AVE,,San Francisco,POINT (-122.42461 37.802015),,,CA,94109,,,,,,,,,,,,,,,,68,95.2,153.9,-15.5,-15.5,69.8,5.8,95.4,154.4,59,101.3,161.7,-8.1,-8.1,74,6.1,102.4,165.3
0285/004,417 STOCKTON ST,417 STOCKTON ST,94108,37432,N/A,,http://propertymap.sfplanning.org/?&search=0285/004,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Insufficient Data,Violation - Insufficient Data,4/1/14,Did Not Comply,417 STOCKTON ST,,San Francisco,POINT (-122.407063 37.789856),,,CA,94108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115/043,625 Monterey Blvd,625 MONTEREY BLVD,94112,21242,N/A,,http://propertymap.sfplanning.org/?&search=3115/043,Complied,N/A,Violation - Insufficient Data,Violation - Insufficient Data,Violation - Insufficient Data,4/1/14,Pending,625 MONTEREY BLVD,,San Francisco,POINT (-122.449457 37.731511),,,CA,94112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4083/004,3001 19TH ST,3001 19TH ST,94110,16800,Office,,http://propertymap.sfplanning.org/?&search=4083/004,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,3001 19TH ST,,San Francisco,POINT (-122.412055 37.760364),,,CA,94110,,,,,,,,,,,,,,,,98,31,56.5,-63.2,-63.2,33.2,2,27.9,52.5,96,32.5,65.2,-57,-57,36.1,2.1,38.7,71.7
5203/038,1500 BURKE AVE,1500 BURKE AVE,94124,15000,N/A,,http://propertymap.sfplanning.org/?&search=5203/038,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1500 BURKE AVE,,San Francisco,POINT (-122.385016 37.743892),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4247/003,1410 TENNESSEE ST,1400 TENNESSEE ST,94107,19200,N/A,,http://propertymap.sfplanning.org/?&search=4247/003,N/A,N/A,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,4/1/15,Upcoming,1400 TENNESSEE ST,,San Francisco,POINT (-122.388864 37.753827),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007/008,3220 SACRAMENTO ST,3220 SACRAMENTO ST,94115,17000,K-12 School,,http://propertymap.sfplanning.org/?&search=1007/008,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Did Not Comply,3220 SACRAMENTO ST,,San Francisco,POINT (-122.445963 37.78831),,,CA,94115,,,,,,,,,,,,,,,,93,32.2,73.3,-43.7,-43.8,40.3,2.4,29.7,70.7,97,20.1,61.3,-50.5,-50.5,27.5,1.6,20.4,61.6
0743/204,815 EDDY ST,815 EDDY ST,94102,29190,Office,,http://propertymap.sfplanning.org/?&search=0743/204,N/A,N/A,Exempt,Exempt,Complied,4/1/14,Did Not Comply,815 EDDY ST,,San Francisco,POINT (-122.421546 37.782794),,,CA,94102,,,,,,,,,,,,,,,,100,24.2,75.9,-64.7,-64.7,34.5,2,24.2,75.9,98,28.4,89.3,-57.6,-57.6,40.6,2.3,28.4,89.3
4023/003,Left Space Studios,2055 BRYANT ST,94110,15000,Office,,http://propertymap.sfplanning.org/?&search=4023/003,N/A,Complied,Complied,Complied,Complied,4/1/13,Complied,2055 BRYANT ST,,San Francisco,POINT (-122.41005 37.7611),,,CA,94110,,,,,,,,,,,,,,,,89,32.3,73.3,-44.5,-44.4,35.6,2.4,30.1,71,91,27.7,68.3,-47.2,-47.2,30.1,2,27.7,68.3
0323/009,FYCC,434 ELLIS ST,94102,11500,K-12 School,,http://propertymap.sfplanning.org/?&search=0323/009,N/A,Violation - Insufficient Data,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,434 ELLIS ST,,San Francisco,POINT (-122.413388 37.784797),,,CA,94102,,,,,,,,,,,,,,,,80,33.1,88.8,-26.9,-26.9,28.7,2.5,32.4,88.1,86,27.6,77.1,-34.1,-34.1,24.4,2.1,29.2,78.7
0503/028,Lombard Motor Inn,1475 LOMBARD ST,94123,17280,Hotel,,http://propertymap.sfplanning.org/?&search=0503/028,Complied,Complied,Complied,Complied,Complied,4/1/14,Complied,1475 LOMBARD ST,,San Francisco,POINT (-122.425884 37.801092),,,CA,94123,,,,,,,,,,,,,,,,48,73.5,147.5,1,1,87.6,5.1,73.5,147.5,45,73.3,145.4,3.9,3.9,83.4,4.8,73.3,145.4
0295/010,PCMB,447 SUTTER ST,94108,88443,N/A,,http://propertymap.sfplanning.org/?&search=0295/010,Complied,Complied,Complied,Violation - Insufficient Data,Violation - Did Not Report,4/1/14,Pending,447 SUTTER ST,99,San Francisco,POINT (-122.407718 37.789335),19.7,,CA,94108,-68.4,,148.86,,20.3,,99,19.3,58.5,-67.5,,146.44,,19.2,58.4,,,,,,,,,,,,,,,,,,
1180/015,834 DIVISADERO ST,834 DIVISADERO ST,94117,10130,N/A,,http://propertymap.sfplanning.org/?&search=1180/015,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,834 DIVISADERO ST,,San Francisco,POINT (-122.438243 37.777394),,,CA,94117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0296/007,Inn at Union Square,440 POST ST,94102,19170,Hotel,,http://propertymap.sfplanning.org/?&search=0296/007,Complied,Violation - Insufficient Data,Complied,Complied,Complied,4/1/14,Complied,440 POST ST,,San Francisco,POINT (-122.409102 37.788207),,,CA,94102,,,,,,,,,,,,,,,,,47.2,148.3,-8.5,-8.5,73.8,3.8,46.4,145.8,,40.6,127.3,-21.4,-21.4,63.4,3.3,43,134.9
3708/023,40J-Student Services Center,40 JESSIE ST,94105,40424,Office,,http://propertymap.sfplanning.org/?&search=3708/023,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,40 JESSIE ST,,San Francisco,POINT (-122.399121 37.7895),,,CA,94105,,,,,,,86,41.7,124,-39.9,,137.1,,41.7,124,92,35.2,105.2,-48,-48,113,2.8,35.2,105.2,90,35.9,109,-44.9,-44.9,116.2,2.9,36.2,109.3
3593/038,630 TREAT AVE,630 TREAT AVE,94110,10500,N/A,,http://propertymap.sfplanning.org/?&search=3593/038,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,630 TREAT AVE,,San Francisco,POINT (-122.413772 37.760232),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
